Player Id	Season	Fee	Market Value	Team A	Team B	ID Team A	ID Team B
102226	12/13	Loan	€500Th.	Chelsea	Zulte Waregem	631	3508
102226	12/13	€500Th.	€500Th.	Lens	Chelsea	826	631
102226	11/12	-	-	RC Lens B	Lens	8152	826
102226	10/11	-	-	RC Lens U19	RC Lens B	10824	8152
102226	07/08	Free transfer	-	Tubize Yth.	RC Lens U19	66274	10824
187492	19/20	€25.00m	€50.00m	Bay. Leverkusen	Bor. Dortmund	15	16
187492	13/14	€500Th.	-	Wolfsburg U19	Bay. Leverkusen	5343	15
187492	12/13	-	-	Wolfsburg U17	Wolfsburg U19	21087	5343
187492	11/12	Free transfer	-	Oberneul. Yth.	Wolfsburg U17	18485	21087
187492	09/10	Free transfer	-	Borgfeld Yth.	Oberneul. Yth.	42559	18485
126716	19/20	€23.00m	€42.00m	Bor. Dortmund	Villarreal	16	1050
126716	19/20	€21.00m	€37.00m	FC Barcelona	Bor. Dortmund	131	16
126716	18/19	End of loan	€37.00m	Bor. Dortmund	FC Barcelona	16	131
126716	18/19	Loan fee:	€15.00m	FC Barcelona	Bor. Dortmund	131	16
126716	16/17	€30.00m	€25.00m	Valencia	FC Barcelona	1049	131
126716	12/13	End of loan	€2.00m	Getafe	Valencia	3709	1049
126716	12/13	Loan	€2.50m	Valencia	Getafe	1049	3709
126716	11/12	-	-	Valencia B	Valencia	6182	1049
126716	10/11	-	-	Valencia U19	Valencia B	10200	6182
126716	09/10	-	-	Valencia CF You	Valencia U19	16200	10200
126716	05/06	?	-	Torrent C.F.	Valencia CF You	67509	16200
418560	19/20	€20.00m	€45.00m	RB Salzburg	Bor. Dortmund	409	16
418560	18/19	€8.00m	€5.00m	Molde FK	RB Salzburg	687	409
418560	16/17	€100Th.	€200Th.	Bryne FK	Molde FK	1057	687
418560	15/16	-	-	Bryne FK U19	Bryne FK	19368	1057
119296	20/21	€25.00m	€24.00m	Juventus	Bor. Dortmund	506	16
119296	19/20	End of loan	€24.00m	Bor. Dortmund	Juventus	16	506
119296	19/20	Loan fee:	€30.00m	Juventus	Bor. Dortmund	506	16
119296	18/19	Free transfer	€30.00m	Liverpool	Juventus	31	506
119296	14/15	€12.00m	€7.50m	Bay. Leverkusen	Liverpool	15	31
119296	13/14	€5.00m	€1.50m	Bayern Munich 	Bay. Leverkusen	27	15
119296	12/13	-	€600Th.	FC Bayern II	Bayern Munich 	28	27
119296	11/12	-	-	FC Bayern U19	FC Bayern II	1462	28
